Date,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100,THB100,PHP100,TWD100,KRW100,IDR100,SAR100,SDR,CNY,BND,VND100,KHR100,NZD,MMK100,INR100,AED100,PKR100,NPR100,EGP
05/02/2015,3.573,5.4327,4.0582,3.0441,3.8717,2.7807,2.8474,2.651,46.0821,10.9685,8.0965,11.3699,0.3284,0.0282,95.1975,5.0608,0.5714,2.6508,0.0167,0.0876,2.6365,0.3493,5.7741,97.2761,3.5341,3.6092,0.4686
06/02/2015,3.5525,5.4456,4.074,3.0279,3.8489,2.7798,2.8559,2.6407,45.8245,10.9039,8.041,11.3137,0.3267,0.0281,94.6526,5.029,0.5692,2.6407,0.0166,0.0871,2.6365,0.3469,5.754,96.718,3.5156,3.5968,0.4656
09/02/2015,3.56,5.4308,4.036,2.9965,3.8505,2.7659,2.8462,2.6317,45.9165,10.9152,8.0388,11.2853,0.3248,0.0281,94.865,5.0457,0.5696,2.6316,0.0167,0.0872,2.6248,0.3476,5.7373,96.9222,3.5178,3.5865,0.4666
10/02/2015,3.5815,5.4586,4.0609,3.023,3.8799,2.8043,2.8754,2.6478,46.1917,10.9896,8.0746,11.3803,0.3285,0.0283,95.4609,5.0482,0.5735,2.6475,0.0168,0.0877,2.6632,0.3494,5.7738,97.5075,3.5425,3.6093,0.4694
11/02/2015,3.597,5.4849,4.0714,3.0082,3.8819,2.7945,2.8579,2.6516,46.3878,11.0194,8.11,11.4163,0.3279,0.0283,95.874,5.0632,0.5762,2.6515,0.0169,0.088,2.6704,0.3506,5.7801,97.9295,3.5579,3.6125,0.4727
12/02/2015,3.6215,5.513,4.0974,3.0113,3.8945,2.7755,2.8669,2.6596,46.7034,11.082,8.1524,11.473,0.3266,0.0282,96.5386,5.1022,0.5798,2.6595,0.017,0.089,2.6602,0.353,5.8004,98.5952,3.5733,3.6256,0.4749
13/02/2015,3.5815,5.5171,4.0876,3.0206,3.8581,2.7826,2.8652,2.642,46.184,10.987,8.0915,11.3874,0.3264,0.0281,95.4621,5.0536,0.5738,2.6418,0.0168,0.0879,2.6648,0.3491,5.7682,97.5075,3.5321,3.6057,0.4695
16/02/2015,3.569,5.5077,4.0762,3.0141,3.8405,2.7795,2.8717,2.6354,46.016,10.9479,8.0651,11.3679,0.3244,0.028,95.1416,5.0519,0.5714,2.6351,0.0167,0.0875,2.6798,0.3472,5.7483,97.1659,3.518,3.5928,0.4678
17/02/2015,3.5925,5.5231,4.0814,3.029,3.8542,2.802,2.8865,2.6512,46.3103,11.025,8.115,11.3955,0.3258,0.0282,95.7604,5.0852,0.5744,2.6505,0.0168,0.0881,2.701,0.3495,5.7704,97.807,3.5429,3.6122,0.4708
18/02/2015,3.594,5.5179,4.099,3.0171,3.8397,2.8112,2.9,2.6479,46.3291,11.0347,8.1257,11.3698,0.3241,0.0281,95.8042,5.091,0.5746,2.6479,0.0168,0.088,2.709,0.3503,5.7749,97.8478,3.5461,3.6096,0.471
23/02/2015,3.641,5.5999,4.1449,3.0595,3.8596,2.8516,2.8996,2.6769,46.9386,11.1807,8.2278,11.4713,0.328,0.0284,97.0571,5.1387,0.5821,2.6766,0.0171,0.0897,2.7366,0.3538,5.8556,99.1274,3.5801,3.6597,0.4773
24/02/2015,3.627,5.5997,4.1103,3.0459,3.8189,2.8184,2.881,2.6661,46.7599,11.135,8.1841,11.4822,0.3271,0.0282,96.6968,5.1164,0.5798,2.6661,0.017,0.0887,2.7125,0.3528,5.8218,98.749,3.5681,3.6386,0.4754
25/02/2015,3.6245,5.6086,4.1134,3.0518,3.8155,2.8556,2.9087,2.6711,46.7379,11.1309,8.2077,11.5174,0.3288,0.0281,96.6379,5.1162,0.579,2.6712,0.017,0.0886,2.7294,0.3533,5.8398,98.6809,3.5587,3.6499,0.475
26/02/2015,3.598,5.5938,4.0904,3.0248,3.7898,2.8264,2.8951,2.6591,46.3938,11.1007,8.1587,11.444,0.3269,0.028,95.9352,5.0864,0.5748,2.6591,0.0168,0.0887,2.7221,0.3493,5.8088,97.9594,3.5316,3.6309,0.4716
27/02/2015,3.6113,5.5741,4.0495,3.0274,3.7981,2.8161,2.8905,2.6618,46.5628,11.1544,8.1925,11.477,0.3281,0.0281,96.2897,5.107,0.576,2.6618,0.0169,0.0891,2.7261,0.3496,5.8477,98.3202,3.5457,3.6547,0.4733
02/03/2015,3.627,5.5849,4.0535,3.0264,3.7983,2.8153,2.9003,2.6584,46.7659,11.2117,8.218,11.5418,0.3291,0.0279,96.711,5.1046,0.5782,2.6587,0.017,0.0884,2.729,0.3511,5.8632,98.749,3.5611,3.6647,0.4754
03/03/2015,3.6275,5.576,4.0586,3.0291,3.7921,2.8324,2.8963,2.6589,46.7772,11.2133,8.2284,11.5564,0.3301,0.028,96.7256,5.1032,0.5781,2.6585,0.017,0.0897,2.7306,0.3512,5.8603,98.7626,3.5599,3.6631,0.4754
04/03/2015,3.6285,5.5721,4.0547,3.0327,3.776,2.8375,2.9035,2.663,46.7874,11.2199,8.2326,11.5581,0.331,0.028,96.7523,5.0926,0.5786,2.6629,0.017,0.0884,2.7422,0.3513,5.8666,98.7898,3.5591,3.6672,0.4756
05/03/2015,3.6565,5.5776,4.0466,3.052,3.7887,2.8596,2.9406,2.6721,47.1457,11.282,8.2801,11.6225,0.3323,0.0281,97.4989,5.127,0.5835,2.6715,0.0171,0.089,2.7616,0.354,5.8744,99.5508,3.5883,3.6716,0.4792
06/03/2015,3.6475,5.5621,4.0223,3.039,3.7489,2.8465,2.9235,2.663,47.0281,11.2542,8.2672,11.6037,0.3318,0.0281,97.2589,5.0967,0.5822,2.6632,0.0171,0.0887,2.734,0.3531,5.8491,99.3044,3.5795,3.6678,0.478
09/03/2015,3.688,5.5539,3.9972,3.0459,3.7371,2.837,2.9233,2.67,47.527,11.3242,8.3307,11.6905,0.3318,0.0282,98.3401,5.1335,0.5887,2.6698,0.0173,0.0896,2.7044,0.357,5.882,100.4057,3.6246,3.6767,0.4834
10/03/2015,3.6965,5.5762,3.9917,3.0346,3.734,2.8269,2.9244,2.6681,47.6405,11.3251,8.3461,11.7134,0.3297,0.0283,98.5681,5.1272,0.5902,2.6676,0.0173,0.0897,2.6984,0.3582,5.8866,100.6384,3.6278,3.6793,0.4845
11/03/2015,3.714,5.6011,3.9673,3.0594,3.7192,2.8223,2.9265,2.6769,47.8537,11.3613,8.3724,11.7368,0.329,0.0282,99.0321,5.1276,0.593,2.6766,0.0174,0.0921,2.6891,0.3599,5.915,101.1149,3.6439,3.6971,0.4868
12/03/2015,3.696,5.5144,3.8801,3.0386,3.6491,2.8032,2.8961,2.6633,47.5979,11.2306,8.3412,11.6575,0.3265,0.028,98.5469,5.0827,0.5901,2.6636,0.0173,0.0919,2.6979,0.3581,5.898,100.6248,3.6273,3.6865,0.4844
13/03/2015,3.6965,5.4969,3.9236,3.043,3.6796,2.8395,2.908,2.6696,47.6092,11.2647,8.3485,11.7019,0.3278,0.028,98.5602,5.0878,0.5906,2.6695,0.0173,0.0917,2.7273,0.3582,5.9157,100.6384,3.6295,3.6974,0.4846
16/03/2015,3.7075,5.4719,3.9003,3.0553,3.6858,2.8338,2.896,2.6623,47.7454,11.269,8.3483,11.7155,0.3266,0.028,98.8509,5.0826,0.5921,2.6621,0.0173,0.0921,2.7295,0.3586,5.8873,100.9379,3.6403,3.6796,0.4861
17/03/2015,3.6995,5.4834,3.9076,3.0482,3.6712,2.8222,2.8925,2.6629,47.6534,11.2379,8.3299,11.6977,0.3275,0.028,98.6376,5.0654,0.5914,2.6629,0.0172,0.0919,2.7304,0.3578,5.8966,100.7201,3.6343,3.6856,0.485
18/03/2015,3.7,5.4616,3.9244,3.0492,3.6798,2.8209,2.893,2.6645,47.6936,11.2428,8.2737,11.7289,0.3285,0.0281,98.6456,5.0783,0.5931,2.6644,0.0172,0.0918,2.7025,0.3578,5.9006,100.7337,3.633,3.6878,0.4849
19/03/2015,3.68,5.4797,3.963,3.0564,3.7115,2.8468,2.9208,2.6621,47.4438,11.2401,8.2317,11.7052,0.3301,0.0283,98.1059,5.0442,0.594,2.662,0.0171,0.0913,2.7469,0.3559,5.8922,100.1919,3.6148,3.6826,0.4825
20/03/2015,3.7225,5.4981,3.9769,3.0828,3.7628,2.8563,2.9345,2.6844,47.983,11.3838,8.3022,11.834,0.3319,0.0284,99.2415,5.1303,0.6017,2.6852,0.0173,0.0924,2.7673,0.36,5.9491,101.3463,3.6542,3.7185,0.4879
23/03/2015,3.6883,5.509,3.9864,3.0733,3.7703,2.8796,2.9332,2.6772,47.5501,11.3276,8.2254,11.7408,0.3304,0.0282,98.3363,5.0794,0.5943,2.6771,0.0171,0.0917,2.7998,0.3567,5.9149,100.4138,3.6197,3.6968,0.4834
24/03/2015,3.6745,5.4851,4.0074,3.0673,3.7909,2.8825,2.9289,2.6825,47.3851,11.2784,8.213,11.7201,0.3316,0.0283,97.9736,5.0979,0.5917,2.6827,0.0171,0.0912,2.8033,0.3554,5.9061,100.0422,3.6097,3.6912,0.4816
25/03/2015,3.6575,5.4385,3.9991,3.058,3.8131,2.8839,2.9268,2.6768,47.1652,11.24,8.1673,11.6993,0.332,0.0283,97.5216,5.089,0.5888,2.6767,0.017,0.0909,2.7952,0.3537,5.8703,99.5807,3.5912,3.6689,0.4794
26/03/2015,3.679,5.4751,4.0379,3.0832,3.8343,2.8742,2.9446,2.6844,47.4443,11.2939,8.2066,11.7529,0.333,0.0283,98.0831,5.1199,0.5921,2.6842,0.0171,0.0915,2.7889,0.3558,5.8737,100.1647,3.607,3.6709,0.4822
27/03/2015,3.6675,5.4473,3.9904,3.0735,3.8033,2.8621,2.9352,2.6783,47.2966,11.2569,8.1846,11.7292,0.3321,0.0281,97.7622,5.1077,0.5899,2.6782,0.017,0.0913,2.7811,0.3554,5.8507,99.8611,3.5958,3.6566,0.4807
30/03/2015,3.7085,5.5101,4.0298,3.1109,3.853,2.8659,2.9388,2.6978,47.8251,11.3749,8.2779,11.8559,0.3354,0.0284,98.8591,5.1409,0.597,2.6979,0.0172,0.0924,2.797,0.36,5.9298,100.972,3.6402,3.7065,0.486
31/03/2015,3.7165,5.4935,4.0153,3.0903,3.8358,2.8329,2.9264,2.6997,47.9267,11.4231,8.3111,11.8738,0.3342,0.0284,99.0789,5.1418,0.5993,2.6996,0.0173,0.0923,2.7798,0.3605,5.9345,101.1926,3.6474,3.7091,0.4871
01/04/2015,3.6855,5.4772,3.9735,3.0823,3.7999,2.8137,2.9136,2.6953,47.5226,11.3365,8.2598,11.7842,0.3345,0.0283,98.2512,5.0841,0.5949,2.6953,0.0171,0.0915,2.7555,0.3582,5.9108,100.3431,3.6166,3.6855,0.4832
02/04/2015,3.6835,5.4637,3.9664,3.0786,3.8149,2.791,2.9213,2.7029,47.5082,11.3496,8.2757,11.8061,0.3355,0.0283,98.1939,5.0823,0.5943,2.7029,0.0171,0.0916,2.7497,0.3587,5.9186,100.2845,3.6159,3.6836,0.4828
03/04/2015,3.6635,5.4311,3.983,3.0613,3.815,2.783,2.9166,2.6979,47.2539,11.2801,8.2483,11.8063,0.3348,0.0282,97.6634,5.0663,0.5913,2.6979,0.017,0.0912,2.7504,0.3567,5.9008,99.7386,3.5945,3.6636,0.4803
06/04/2015,3.6225,5.4051,3.9795,3.0448,3.8032,2.7636,2.9051,2.6791,46.7278,11.1444,8.1629,11.7271,0.3343,0.028,96.573,5.0427,0.5849,2.679,0.0168,0.0901,2.7542,0.3531,5.8254,98.6171,3.555,3.6409,0.4748
07/04/2015,3.635,5.4154,3.9761,3.0379,3.7981,2.763,2.915,2.6799,46.8908,11.1812,8.1626,11.7277,0.3333,0.028,96.901,5.0645,0.587,2.6799,0.0168,0.0904,2.7366,0.3546,5.8356,98.9641,3.5674,3.6475,0.4764
08/04/2015,3.644,5.4044,3.9499,3.0341,3.7773,2.7908,2.9168,2.6826,47.0103,11.1951,8.1732,11.7227,0.3332,0.028,97.141,5.0487,0.5872,2.6826,0.0169,0.0906,2.7454,0.3562,5.8468,99.2091,3.5762,3.6543,0.4776
09/04/2015,3.6295,5.4016,3.9126,3.0162,3.7514,2.7945,2.8915,2.6765,46.8295,11.1531,8.1617,11.6667,0.3318,0.028,96.7634,5.0336,0.585,2.676,0.0168,0.0902,2.7434,0.3548,5.8305,98.8143,3.562,3.6444,0.4757
10/04/2015,3.6445,5.3631,3.8914,3.0234,3.7341,2.8077,2.8961,2.6811,47.0237,11.2001,8.1917,11.6999,0.3334,0.0282,97.1595,5.032,0.5869,2.681,0.0169,0.0906,2.7623,0.3422,5.8405,99.2227,3.5757,3.6508,0.4777
13/04/2015,3.6975,5.4033,3.9179,3.0702,3.7733,2.8081,2.9303,2.7017,47.7094,11.3601,8.2866,11.8283,0.3367,0.0286,98.579,5.0679,0.5949,2.7019,0.0171,0.0919,2.7589,0.3449,5.9302,100.6643,3.6287,3.7069,0.4846
14/04/2015,3.704,5.431,3.9125,3.0896,3.7889,2.8163,2.9437,2.7157,47.792,11.3801,8.2942,11.8528,0.3378,0.0285,98.7523,5.0656,0.5961,2.7159,0.0171,0.0921,2.7656,0.3458,5.9382,100.8426,3.6351,3.7034,0.4854
15/04/2015,3.7225,5.492,3.955,3.1095,3.8183,2.8248,2.9794,2.7296,48.0298,11.437,8.3511,11.9082,0.3392,0.0287,99.2548,5.1034,0.5996,2.7295,0.0172,0.0926,2.7988,0.3479,5.9622,101.3463,3.6583,3.7267,0.4879
16/04/2015,3.6575,5.4286,3.9128,3.07,3.7976,2.8368,2.9799,2.6999,47.189,11.2851,8.2358,11.7359,0.336,0.0284,97.5243,5.0203,0.5902,2.6999,0.0169,0.0909,2.7782,0.3418,5.8628,99.5766,3.5893,3.6646,0.4794
17/04/2015,3.637,5.4282,3.916,3.0566,3.8008,2.827,2.9814,2.6961,46.9172,11.2288,8.1988,11.6927,0.3349,0.0283,96.9763,5.0202,0.5873,2.6963,0.0168,0.0904,2.7845,0.3405,5.8299,99.0185,3.5782,3.6437,0.4767
20/04/2015,3.6235,5.4204,3.9083,3.0479,3.8008,2.8271,2.969,2.6931,46.7533,11.1957,8.1873,11.6925,0.3341,0.0281,96.6215,5.0237,0.5842,2.6935,0.0168,0.0901,2.793,0.3396,5.7969,98.6523,3.5579,3.6231,0.4751
21/04/2015,3.6435,5.4224,3.9075,3.0511,3.806,2.8037,2.9711,2.6974,47.012,11.2384,8.2279,11.723,0.3363,0.0281,97.1509,5.0313,0.5874,2.6973,0.0169,0.0906,2.784,0.3418,5.7733,99.1955,3.5757,3.6086,0.4775
22/04/2015,3.619,5.4035,3.8816,3.0248,3.7879,2.8082,2.9496,2.6801,46.6953,11.1792,8.1855,11.6498,0.3347,0.028,96.5015,4.9881,0.584,2.6801,0.0168,0.0897,2.7756,0.3398,5.7632,98.5285,3.5645,3.6021,0.4743
